id	huric_source_file	frame	sentence	lu	disc	lu+disc	disc2	lu+disc2
45	2261.xml	Motion	go,quickly,to,the,corner	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
46	2261.xml	Following	follow,the,skinny,person	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
47	2262.xml	Motion	move,to,the,lamp,on,the,right,side,of,the,bed	1,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0	1,1,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0	1,1,0,0,0,0,0,0,0,0,0
48	2263.xml	Placing	place,the,mug,on,the,sink,nearest,to,the,refrigerator	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,0
49	2264.xml	Being_located	there,is,a,bed,with,two,lamps	1,1,0,0,0,0,0	0,0,0,0,0,0,0	1,1,0,0,0,0,0	0,0,0,0,0,0,0	1,1,0,0,0,0,0
50	2265.xml	Motion	please,go,to,the,mirror	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
51	2266.xml	Searching	find,me,a,cushion	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
52	2267.xml	Following	go,along,with,them	1,1,0,0	0,0,0,0	1,1,0,0	0,0,0,0	1,1,0,0
53	2268.xml	Bringing	please,bring,the,mug,to,the,bedroom	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0
54	2269.xml	Motion	please,go,to,the,table	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
55	2270.xml	Being_in_category	the,living,room,is,very,light,and,bright	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0
56	2271.xml	Following	can,you,slowly,follow,my,father	0,0,0,1,0,0	0,0,0,0,0,0	0,0,0,1,0,0	0,0,0,0,0,0	0,0,0,1,0,0
57	2272.xml	Bringing	bring,the,phone,to,the,living,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
58	2273.xml	Taking	get,the,blue,slippers,from,the,bathroom	1,0,0,0,0,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0
59	2274.xml	Bringing	bring,the,book,near,the,lamp	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
60	2275.xml	Being_located	the,bath-tub,is,on,the,left,side	0,0,1,0,0,0,0	0,0,0,1,0,0,0	0,0,1,1,0,0,0	0,0,0,1,0,0,0	0,0,1,1,0,0,0
61	2276.xml	Searching	please,find,the,flowers	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
62	2277.xml	Following	please,follow,me,slowly	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
63	2278.xml	Motion	could,you,please,go,to,the,door	0,0,0,1,0,0,0	0,0,0,0,0,0,0	0,0,0,1,0,0,0	0,0,0,0,0,0,0	0,0,0,1,0,0,0
64	2279.xml	Following	follow,me	1,0	0,0	1,0	0,0	1,0
65	2280.xml	Bringing	bring,me,my,telephone,from,the,couch	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
66	2281.xml	Being_in_category	this,is,a,very,wide,and,bright,livingroom	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0
67	2282.xml	Bringing	bring,me,the,towel,from,the,bathroom	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
68	2283.xml	Following	please,follow,me	0,1,0	0,0,0	0,1,0	0,0,0	0,1,0
69	2285.xml	Searching	could,you,find,a,glass,in,the,dining,room	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0
70	2287.xml	Motion	please,move,to,the,fridge	0,1,0,0,0	0,0,1,0,0	0,1,1,0,0	0,0,1,0,0	0,1,1,0,0
71	2288.xml	Motion	go,to,the,dining,table	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
72	2289.xml	Taking	robot,go,get,a,book,for,me	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0
73	2290.xml	Being_in_category	this,is,a,bathroom,with,a,shower,bath,and,double,sink	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0
74	2291.xml	Bringing	can,you,take,the,mug,to,the,coffee,table,in,the,living,room	0,0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0,0,0,0	0,0,1,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,1,0,0,0,0,0,0,0	0,0,1,0,0,1,0,0,0,0,0,0,0
75	2292.xml	Motion	can,you,go,to,the,bathroom	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0
76	2293.xml	Following	go,follow,my,sister,around,the,house	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0	0,0,0,0,0,0,0	0,1,0,0,0,0,0
77	2294.xml	Taking	can,you,grab,my,wine,glass,from,the,dining,room	0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0
78	2295.xml	Motion	can,you,go,to,the,kitchen	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0	0,0,0,0,0,0	0,0,1,0,0,0
79	2295.xml	Bringing	bring,me,some,bread,from,the,pantry	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
80	2296.xml	Motion	go,to,the,fridge,inside,the,kitchen	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
81	2297.xml	Following	can,you,please,follow,that,guy,over,there	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0
82	2298.xml	Taking	take,my,phone	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
83	2298.xml	Placing	place,it,on,the,bench,in,the,kitchen	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
84	2299.xml	Being_located	the,sink,is,in,the,kitchen	0,0,1,0,0,0	0,0,0,1,0,0	0,0,1,1,0,0	0,0,0,1,0,0	0,0,1,1,0,0
85	2300.xml	Taking	get,my,coat,from,the,closet	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
86	2301.xml	Following	come,with,me	1,0,0	0,1,0	1,1,0	0,1,0	1,1,0
87	2302.xml	Bringing	take,the,mug,to,the,bedroom	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
88	2303.xml	Searching	find,a,plate	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
89	2304.xml	Bringing	carry,this,mug,to,the,bedstand	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
90	2305.xml	Motion	go,to,the,bedroom	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
91	2306.xml	Following	follow,the,person,in,front,of,me	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
92	2307.xml	Being_in_category	this,is,a,bathroom,where,the,door,is,on,the,right	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0
94	2332.xml	Bringing	take,my,cellphone,to,the,bedroom	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
95	2333.xml	Searching	find,the,refrigerator	1,0,0	0,0,0	1,0,0	0,0,0	1,0,0
96	2335.xml	Being_in_category	this,is,a,living,room,with,white,furniture	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0	0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0
97	2336.xml	Placing	put,the,cell,phone,on,the,dining,room,table	1,0,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0,0	1,0,0,0,1,0,0,0,0	0,0,0,0,1,0,0,0,0	1,0,0,0,1,0,0,0,0
98	2337.xml	Motion	go,to,the,dining,room	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
99	2338.xml	Searching	find,the,lamp,in,the,living,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
100	2339.xml	Following	follow,the,man,closely	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
101	2340.xml	Bringing	fetch,me,the,tissue,box	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
102	2342.xml	Searching	can,you,find,me,the,butcher,knife	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0
103	2343.xml	Motion	can,you,go,over,to,the,sofa	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0
104	2344.xml	Placing	can,you,place,the,mug,to,the,head,of,the,table	0,0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0
105	2345.xml	Following	can,you,follow,my,mother,to,the,garden	0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0
106	2346.xml	Following	follow,my,friend,into,the,living,room	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0	0,0,0,0,0,0,0	1,0,0,0,0,0,0
107	2347.xml	Placing	put,the,book,on,the,chair,near,the,dining,table	1,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	1,0,0,1,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0	1,0,0,1,0,0,0,0,0,0
108	2348.xml	Motion	please,move,to,the,far,end,of,this,table	0,1,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	0,1,1,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0	0,1,1,0,0,0,0,0,0
109	2349.xml	Searching	find,the,red,pillow	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
110	2350.xml	Being_located	you,are,in,a,very,big,bathroom	0,1,0,0,0,0,0	0,0,1,0,0,0,0	0,1,1,0,0,0,0	0,0,1,0,0,0,0	0,1,1,0,0,0,0
111	2351.xml	Taking	please,pick,my,mobile,phone	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
112	2351.xml	Placing	put,it,on,the,chair,near,the,table	1,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0	1,0,1,0,0,0,0,0	0,0,1,0,0,0,0,0	1,0,1,0,0,0,0,0
113	2352.xml	Motion	could,you,please,move,to,the,sink	0,0,0,1,0,0,0	0,0,0,0,1,0,0	0,0,0,1,1,0,0	0,0,0,0,1,0,0	0,0,0,1,1,0,0
114	2352.xml	Change_operational_state	open,the,cold,water	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
115	2354.xml	Taking	john,can,you,take,the,mug,in,the,kitchen	0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0	0,0,0,0,0,0,1,0,0	0,0,0,1,0,0,1,0,0
116	2354.xml	Bringing	bring,it,to,the,side,of,the,bathtub	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0
117	2355.xml	Motion	michael,go,to,the,kitchen	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
118	2355.xml	Bringing	get,me,some,water	1,0,0,0	0,0,0,0	1,0,0,0	0,1,0,0	1,1,0,0
119	2356.xml	Searching	michael,find,my,book,on,the,sofa,near,the,window	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0
120	2358.xml	Following	michael,follow,the,guy,with,the,red,hoodie,and,the,white,shoes	0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0
121	2359.xml	Following	would,you,please,follow,me,to,the,kitchen	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0	0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0
122	2360.xml	Bringing	would,you,please,bring,me,my,phone,from,the,bed,room	0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,0,0,1,0,0,0,0,0,0,0
123	2361.xml	Following	follow,me,to,the,bedroom	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
124	2362.xml	Motion	move,to,the,left,of,the,table	1,0,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0	0,1,0,0,0,0,0	1,1,0,0,0,0,0
125	2363.xml	Placing	put,the,pillow,under,the,bed	1,0,0,0,0,0	0,0,0,1,0,0	1,0,0,1,0,0	0,0,0,1,0,0	1,0,0,1,0,0
126	2364.xml	Searching	find,the,glasses,on,the,table	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
127	2365.xml	Following	follow,the,person,behind,me	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
128	2366.xml	Motion	go,close,to,the,shower	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
129	2367.xml	Being_in_category	this,is,a,double,bedroom,with,four,pictures,on,the,wall	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0
130	2368.xml	Placing	put,my,mobile,phone,on,the,kitchen,table	1,0,0,0,0,0,0,0	0,0,0,0,1,0,0,0	1,0,0,0,1,0,0,0	0,0,0,0,1,0,0,0	1,0,0,0,1,0,0,0
131	2369.xml	Following	follow,the,man,in,black	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0	0,0,0,0,0	1,0,0,0,0
132	2370.xml	Bringing	bring,me,yogurt,from,the,fridge	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0	0,0,0,0,0,0	1,0,0,0,0,0
133	2371.xml	Placing	put,the,coffee,mug,into,the,dishwasher	1,0,0,0,0,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0	0,0,0,0,1,0,0	1,0,0,0,1,0,0
134	2372.xml	Searching	search,for,the,bottle,of,wine,on,the,table	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
135	2373.xml	Being_in_category	this,is,a,bedroom,with,big,double,bed,and,two,bedside,tables	0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0,0
136	2374.xml	Taking	hey,robot,take,the,book	0,0,1,0,0	0,0,0,0,0	0,0,1,0,0	0,0,0,0,0	0,0,1,0,0
137	2374.xml	Placing	put,it,in,the,oven	1,0,0,0,0	0,0,1,0,0	1,0,1,0,0	0,0,1,0,0	1,0,1,0,0
138	2375.xml	Following	hey,robot,follow,john,everywhere,he,goes	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0	0,0,0,0,0,0,0	0,0,1,0,0,0,0
139	2376.xml	Bringing	take,my,phone,into,the,living,room	1,0,0,0,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0	0,0,0,1,0,0,0	1,0,0,1,0,0,0
140	2377.xml	Searching	please,find,me,the,black,cushion,which,is,on,the,bed	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0
142	2378.xml	Entering	please,enter,the,bathroom	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
143	2378.xml	Motion	go,towards,the,sink,on,the,left,hand,side	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0
144	2379.xml	Following	robot,follow,me,slowly	0,1,0,0	0,0,0,0	0,1,0,0	0,0,0,0	0,1,0,0
145	2380.xml	Motion	please,go,to,the,chair	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0	0,0,0,0,0	0,1,0,0,0
146	2381.xml	Being_in_category	this,is,a,bedroom,with,one,bed,and,two,night,stands	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,0,0
147	2382.xml	Searching	can,you,please,search,the,book	0,0,0,1,0,0	0,0,0,0,0,0	0,0,0,1,0,0	0,0,0,0,0,0	0,0,0,1,0,0
148	2382.xml	Bringing	bring,it,to,me	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
149	2387.xml	Following	follow,me,very,fast	1,0,0,0	0,0,0,0	1,0,0,0	0,0,0,0	1,0,0,0
